contrast_label,contrast_group,question_id,blind_mean,target_mean,mean_effect,sd_text,se_text,ci95,n_models,n_prompts,n_model_prompt_cells,n_texts
Lower (profile),PI_BIB,q05,2.9258333333333333,2.6519010416666666,-0.27393229166666666,0.34380337670557987,0.011096206269588214,0.021748564288392898,8,3,24,960
Lower (profile),PI_BIB,q06,3.6063541666666663,3.4188281249999997,-0.18752604166666664,0.22174537377678474,0.0071568011644668845,0.014027330282355093,8,3,24,960
Male (name),PI_NAME,q01,3.7721875,3.711276041666667,-0.060911458333333335,0.15069383318406326,0.00486362255248363,0.009532700202867915,8,3,24,960
Male (name),PI_NAME,q02,3.8725,3.825260416666667,-0.047239583333333335,0.1251180251804704,0.004038166898619351,0.007914807121293927,8,3,24,960
Male (name),PI_NAME,q03,3.1722916666666663,3.063411458333333,-0.10888020833333334,0.19689302321350716,0.006354694999086196,0.012455202198208944,8,3,24,960
Male (name),PI_NAME,q04,3.5478125000000005,3.4758333333333336,-0.07197916666666666,0.16750092083644394,0.005406068973949619,0.010595895188941253,8,3,24,960
Male (name),PI_NAME,q05,2.9258333333333333,2.7619791666666664,-0.16385416666666666,0.28074409468045675,0.009060976693695726,0.01775951431964362,8,3,24,960
Male (name),PI_NAME,q06,3.6063541666666663,3.4944531249999997,-0.11190104166666666,0.18480016430956114,0.0059643996562277046,0.011690223326206301,8,3,24,960
No (AI),AI,q01,3.7721875,3.7719791666666667,-0.00020833333333333237,0.1359321057194035,0.004387189847217965,0.008598892100547212,8,3,24,960
No (AI),AI,q02,3.8725,3.8679166666666664,-0.004583333333333332,0.11045376751577522,0.0035648800176205264,0.0069871648345362315,8,3,24,960
No (AI),AI,q03,3.1722916666666663,3.1851041666666666,0.0128125,0.19992805340436962,0.006452650177289921,0.012647194347488245,8,3,24,960
No (AI),AI,q04,3.5478125000000005,3.5565624999999996,0.008749999999999996,0.15508919697971324,0.005005482308992591,0.009810745325625479,8,3,24,960
No (AI),AI,q05,2.9258333333333333,2.9370833333333333,0.011249999999999996,0.24186126548374232,0.0078060387775932055,0.015299836004082683,8,3,24,960
No (AI),AI,q06,3.6063541666666663,3.615625,0.009270833333333338,0.17439748680198974,0.005628654683371117,0.01103216317940739,8,3,24,960
Top-tier (inst.),PI_INST,q01,3.7721875,3.722786458333333,-0.049401041666666666,0.14033989946413708,0.004529450778608551,0.008877723526072759,8,3,24,960
Top-tier (inst.),PI_INST,q02,3.8725,3.8344531249999996,-0.038046875,0.1156980576903119,0.003734138755192691,0.007318911960177674,8,3,24,960
Top-tier (inst.),PI_INST,q03,3.1722916666666663,3.091458333333333,-0.08083333333333333,0.19023292164314157,0.006139741145202231,0.012033892644596372,8,3,24,960
Top-tier (inst.),PI_INST,q04,3.5478125000000005,3.497473958333334,-0.05033854166666666,0.16085348152017714,0.005191523792559404,0.010175386633416432,8,3,24,960
Top-tier (inst.),PI_INST,q05,2.9258333333333333,2.8061718750000004,-0.11966145833333335,0.26464806341675373,0.008541479518492762,0.01674129985624581,8,3,24,960
Top-tier (inst.),PI_INST,q06,3.6063541666666663,3.5248177083333334,-0.08153645833333333,0.180290892060923,0.0058188635202069475,0.011404972499605617,8,3,24,960
Yes (AI),AI,q01,3.7721875,3.7421875,-0.03,0.1471168872675429,0.0047481771194422305,0.009306427154106772,8,3,24,960
Yes (AI),AI,q02,3.8725,3.8557291666666664,-0.016770833333333332,0.11969717431254617,0.0038632096891714793,0.0075718909907761,8,3,24,960
Yes (AI),AI,q03,3.1722916666666663,3.1353125,-0.03697916666666667,0.20165436618841207,0.006508366682814432,0.012756398698316287,8,3,24,960
Yes (AI),AI,q04,3.5478125000000005,3.5254166666666666,-0.022395833333333337,0.15643476215524016,0.005048910238293028,0.009895864067054335,8,3,24,960
Yes (AI),AI,q05,2.9258333333333333,2.870625,-0.05520833333333334,0.23807088422544365,0.007683704748516811,0.015060061307092948,8,3,24,960
Yes (AI),AI,q06,3.6063541666666663,3.5535416666666664,-0.052812500000000005,0.1761374660153443,0.0056848122710050275,0.011142232051169853,8,3,24,960
