pair_label,left_label,right_label,model,question_id,left_value,right_value,pair_mean_diff
Male (name) - Female (name),Male (name),Female (name),mistral,q04,-0.042083333333333334,-0.022499999999999996,-0.019583333333333338
Male (name) - Female (name),Male (name),Female (name),mistral,q05,-0.05125,-0.053124999999999985,0.0018749999999999878
Male (name) - Female (name),Male (name),Female (name),mistral,q06,-0.03916666666666666,-0.024791666666666674,-0.014374999999999988
Male (name) - Female (name),Male (name),Female (name),phi,q01,-0.0425,-0.04083333333333334,-0.0016666666666666635
Male (name) - Female (name),Male (name),Female (name),phi,q02,-0.09645833333333333,-0.09145833333333332,-0.0050000000000000044
Male (name) - Female (name),Male (name),Female (name),phi,q03,-0.11187499999999999,-0.10208333333333332,-0.00979166666666667
Male (name) - Female (name),Male (name),Female (name),phi,q04,-0.0056249999999999955,-0.0033333333333333353,-0.00229166666666666
Male (name) - Female (name),Male (name),Female (name),phi,q05,-0.07020833333333333,-0.04854166666666667,-0.02166666666666666
Male (name) - Female (name),Male (name),Female (name),phi,q06,-0.07812500000000001,-0.06333333333333334,-0.014791666666666675
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),deepseek,q01,-0.05333333333333334,-0.044583333333333336,-0.00875
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),deepseek,q02,-0.028958333333333336,-0.023333333333333334,-0.0056250000000000015
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),deepseek,q03,-0.12291666666666667,-0.09458333333333334,-0.028333333333333335
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),deepseek,q04,-0.08416666666666667,-0.06562499999999999,-0.01854166666666668
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),deepseek,q05,-0.10083333333333333,-0.03541666666666667,-0.06541666666666665
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),deepseek,q06,-0.0895833333333333,-0.04999999999999999,-0.03958333333333332
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),gemma,q01,-0.12958333333333333,-0.11895833333333333,-0.010624999999999996
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),gemma,q02,-0.09583333333333333,-0.07916666666666668,-0.01666666666666665
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),gemma,q03,-0.12770833333333334,-0.08729166666666667,-0.04041666666666667
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),gemma,q04,-0.1525,-0.11708333333333336,-0.03541666666666664
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),gemma,q05,-0.24500000000000002,-0.17083333333333336,-0.07416666666666666
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),gemma,q06,-0.13375,-0.09999999999999999,-0.033750000000000016
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),glm,q01,-0.09416666666666666,-0.07583333333333331,-0.018333333333333354
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),glm,q02,-0.10208333333333332,-0.08729166666666666,-0.014791666666666661
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),glm,q03,-0.19354166666666664,-0.118125,-0.07541666666666665
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),glm,q04,-0.186875,-0.12166666666666666,-0.06520833333333335
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),glm,q05,-0.35729166666666673,-0.2502083333333333,-0.10708333333333342
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),glm,q06,-0.23541666666666664,-0.16229166666666664,-0.073125
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),gpt,q01,0.0,-0.0002083333333333335,0.0002083333333333335
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),gpt,q02,-0.003541666666666667,-0.0010416666666666667,-0.0025000000000000005
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),gpt,q03,-0.017083333333333336,-0.007708333333333332,-0.009375000000000005
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),gpt,q04,-0.063125,-0.05520833333333334,-0.007916666666666662
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),gpt,q05,-0.15125,-0.11333333333333336,-0.03791666666666664
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),gpt,q06,-0.06354166666666668,-0.040208333333333346,-0.02333333333333333
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),kimi,q01,-0.04854166666666667,-0.03354166666666667,-0.015
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),kimi,q02,-0.021875000000000002,-0.015208333333333332,-0.00666666666666667
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),kimi,q03,-0.20937499999999998,-0.14312499999999997,-0.06625
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),kimi,q04,-0.07125000000000002,-0.044791666666666674,-0.026458333333333348
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),kimi,q05,-0.31750000000000006,-0.22791666666666668,-0.08958333333333338
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),kimi,q06,-0.21979166666666664,-0.14958333333333332,-0.07020833333333332
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),ministral,q01,-0.11875000000000001,-0.090625,-0.02812500000000001
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),ministral,q02,-0.0375,-0.01875,-0.01875
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),ministral,q03,-0.13229166666666667,-0.09791666666666667,-0.034375
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),ministral,q04,-0.008333333333333333,0.0010416666666666667,-0.009375
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),ministral,q05,-0.18020833333333333,-0.09895833333333333,-0.08125
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),ministral,q06,-0.12083333333333333,-0.078125,-0.042708333333333334
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),mistral,q01,-0.0024999999999999996,0.0,-0.0024999999999999996
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),mistral,q02,0.0,0.0,0.0
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),mistral,q03,-0.04541666666666666,-0.020833333333333343,-0.024583333333333318
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),mistral,q04,-0.04854166666666667,-0.01604166666666667,-0.0325
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),mistral,q05,-0.07354166666666666,-0.030833333333333324,-0.042708333333333334
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),mistral,q06,-0.04374999999999999,-0.02020833333333334,-0.02354166666666665
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),phi,q01,-0.051875000000000004,-0.03145833333333334,-0.020416666666666666
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),phi,q02,-0.10833333333333334,-0.07958333333333334,-0.028749999999999998
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),phi,q03,-0.136875,-0.07708333333333334,-0.05979166666666666
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),phi,q04,-0.025625,0.016666666666666666,-0.042291666666666665
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),phi,q05,-0.08895833333333335,-0.02979166666666666,-0.05916666666666669
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),phi,q06,-0.08958333333333335,-0.051875000000000004,-0.037708333333333344
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),deepseek,q01,-0.07729166666666666,-0.020625,-0.05666666666666666
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),deepseek,q02,-0.044375000000000005,-0.007916666666666669,-0.036458333333333336
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),deepseek,q03,-0.18520833333333334,-0.03229166666666667,-0.15291666666666667
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),deepseek,q04,-0.13979166666666668,-0.01,-0.12979166666666667
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),deepseek,q05,-0.15458333333333332,0.018333333333333323,-0.17291666666666664
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),deepseek,q06,-0.1502083333333333,0.01062500000000001,-0.16083333333333333
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),gemma,q01,-0.13625,-0.11229166666666668,-0.02395833333333333
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),gemma,q02,-0.13541666666666669,-0.03958333333333334,-0.09583333333333335
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),gemma,q03,-0.16874999999999998,-0.04624999999999999,-0.1225
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),gemma,q04,-0.18729166666666666,-0.08229166666666667,-0.105
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),gemma,q05,-0.34125000000000005,-0.07458333333333333,-0.2666666666666667
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),gemma,q06,-0.18770833333333328,-0.04604166666666667,-0.1416666666666666
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),glm,q01,-0.15541666666666662,-0.014583333333333321,-0.1408333333333333
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),glm,q02,-0.170625,-0.01874999999999999,-0.151875
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),glm,q03,-0.2885416666666667,-0.02312499999999999,-0.2654166666666667
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),glm,q04,-0.285625,-0.022916666666666665,-0.2627083333333334
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),glm,q05,-0.5172916666666666,-0.09020833333333332,-0.42708333333333326
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),glm,q06,-0.35666666666666663,-0.041041666666666664,-0.315625
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),gpt,q01,-0.0002083333333333335,0.0,-0.0002083333333333335
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),gpt,q02,-0.004583333333333334,0.0,-0.004583333333333334
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),gpt,q03,-0.02395833333333333,-0.0008333333333333332,-0.023125
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),gpt,q04,-0.09375000000000001,-0.024583333333333336,-0.06916666666666668
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),gpt,q05,-0.2241666666666667,-0.04041666666666666,-0.18375000000000005
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),gpt,q06,-0.11625,0.012499999999999985,-0.12875
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),kimi,q01,-0.07229166666666668,-0.009791666666666666,-0.06250000000000001
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),kimi,q02,-0.03166666666666667,-0.005416666666666667,-0.026250000000000002
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),kimi,q03,-0.29166666666666663,-0.06083333333333332,-0.2308333333333333
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),kimi,q04,-0.09687500000000003,-0.019166666666666676,-0.07770833333333335
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),kimi,q05,-0.424375,-0.12104166666666667,-0.30333333333333334
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),kimi,q06,-0.28979166666666667,-0.07958333333333333,-0.21020833333333333
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),ministral,q01,-0.19270833333333334,-0.016666666666666666,-0.17604166666666668
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),ministral,q02,-0.052083333333333336,-0.0041666666666666675,-0.04791666666666667
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),ministral,q03,-0.21458333333333335,-0.015625,-0.19895833333333335
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),ministral,q04,-0.012499999999999999,0.005208333333333333,-0.017708333333333333
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),ministral,q05,-0.2739583333333333,-0.005208333333333333,-0.26875
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),ministral,q06,-0.15208333333333332,-0.046875,-0.10520833333333332
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),mistral,q01,-0.0024999999999999996,0.0,-0.0024999999999999996
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),mistral,q02,0.0,0.0,0.0
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),mistral,q03,-0.10041666666666665,0.03416666666666666,-0.1345833333333333
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),mistral,q04,-0.08791666666666664,0.023333333333333327,-0.11124999999999997
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),mistral,q05,-0.10583333333333333,0.0014583333333333369,-0.10729166666666667
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),mistral,q06,-0.09729166666666667,0.03333333333333332,-0.130625
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),phi,q01,-0.07229166666666666,-0.011041666666666667,-0.06124999999999999
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),phi,q02,-0.16125,-0.026666666666666672,-0.13458333333333333
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),phi,q03,-0.21624999999999997,0.002291666666666664,-0.21854166666666663
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),phi,q04,-0.07520833333333334,0.06625,-0.14145833333333335
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),phi,q05,-0.15,0.03125,-0.18125
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),phi,q06,-0.15020833333333336,0.008749999999999994,-0.15895833333333337
Yes (AI) - No (AI),Yes (AI),No (AI),deepseek,q01,-0.003333333333333343,0.007499999999999992,-0.010833333333333335
Yes (AI) - No (AI),Yes (AI),No (AI),deepseek,q02,0.006666666666666669,0.009166666666666672,-0.002500000000000003
Yes (AI) - No (AI),Yes (AI),No (AI),deepseek,q03,-0.022500000000000003,0.005833333333333325,-0.02833333333333333
Yes (AI) - No (AI),Yes (AI),No (AI),deepseek,q04,0.005,0.037499999999999985,-0.03249999999999999
Yes (AI) - No (AI),Yes (AI),No (AI),deepseek,q05,-0.07,0.02833333333333332,-0.09833333333333333
Yes (AI) - No (AI),Yes (AI),No (AI),deepseek,q06,-0.01833333333333333,0.029166666666666684,-0.047500000000000014
Yes (AI) - No (AI),Yes (AI),No (AI),gemma,q01,-0.07666666666666667,0.02,-0.09666666666666668
Yes (AI) - No (AI),Yes (AI),No (AI),gemma,q02,0.012499999999999997,0.004166666666666662,0.008333333333333335
Yes (AI) - No (AI),Yes (AI),No (AI),gemma,q03,-0.03333333333333333,0.03833333333333333,-0.07166666666666666
Yes (AI) - No (AI),Yes (AI),No (AI),gemma,q04,-0.04083333333333334,0.02083333333333333,-0.06166666666666667
Yes (AI) - No (AI),Yes (AI),No (AI),gemma,q05,-0.02083333333333333,0.049999999999999996,-0.07083333333333333
Yes (AI) - No (AI),Yes (AI),No (AI),gemma,q06,-0.03666666666666666,0.030833333333333334,-0.06749999999999999
Yes (AI) - No (AI),Yes (AI),No (AI),glm,q01,-0.06166666666666665,-0.02249999999999998,-0.03916666666666667
Yes (AI) - No (AI),Yes (AI),No (AI),glm,q02,-0.05833333333333333,-0.004166666666666652,-0.054166666666666675
Yes (AI) - No (AI),Yes (AI),No (AI),glm,q03,-0.06583333333333331,-0.006666666666666654,-0.05916666666666666
Yes (AI) - No (AI),Yes (AI),No (AI),glm,q04,-0.0775,-0.006666666666666653,-0.07083333333333335
Yes (AI) - No (AI),Yes (AI),No (AI),glm,q05,-0.14083333333333334,-0.014166666666666666,-0.12666666666666668
Yes (AI) - No (AI),Yes (AI),No (AI),glm,q06,-0.08416666666666667,-0.013333333333333308,-0.07083333333333336
Yes (AI) - No (AI),Yes (AI),No (AI),gpt,q01,0.0,0.0,0.0
Yes (AI) - No (AI),Yes (AI),No (AI),gpt,q02,0.0,0.0,0.0
Yes (AI) - No (AI),Yes (AI),No (AI),gpt,q03,0.0,0.0,0.0
Yes (AI) - No (AI),Yes (AI),No (AI),gpt,q04,-0.022500000000000003,-0.01916666666666667,-0.003333333333333334
Yes (AI) - No (AI),Yes (AI),No (AI),gpt,q05,-0.04,-0.015000000000000001,-0.025
Yes (AI) - No (AI),Yes (AI),No (AI),gpt,q06,-0.06916666666666667,-0.0008333333333333295,-0.06833333333333334
Yes (AI) - No (AI),Yes (AI),No (AI),kimi,q01,0.0,0.004166666666666667,-0.004166666666666667
Yes (AI) - No (AI),Yes (AI),No (AI),kimi,q02,-0.0025000000000000022,0.000833333333333334,-0.003333333333333336
Yes (AI) - No (AI),Yes (AI),No (AI),kimi,q03,-0.04583333333333333,0.019166666666666655,-0.06499999999999999
Yes (AI) - No (AI),Yes (AI),No (AI),kimi,q04,-0.012500000000000011,0.005000000000000001,-0.017500000000000012
Yes (AI) - No (AI),Yes (AI),No (AI),kimi,q05,-0.04000000000000002,0.00249999999999998,-0.0425
Yes (AI) - No (AI),Yes (AI),No (AI),kimi,q06,-0.06249999999999999,0.022500000000000006,-0.08499999999999999
Yes (AI) - No (AI),Yes (AI),No (AI),ministral,q01,-0.04583333333333334,0.03333333333333333,-0.07916666666666666
Yes (AI) - No (AI),Yes (AI),No (AI),ministral,q02,-0.0375,0.0,-0.0375
Yes (AI) - No (AI),Yes (AI),No (AI),ministral,q03,-0.04583333333333334,0.03333333333333333,-0.07916666666666666
Yes (AI) - No (AI),Yes (AI),No (AI),ministral,q04,-0.004166666666666667,0.004166666666666667,-0.008333333333333333
Yes (AI) - No (AI),Yes (AI),No (AI),ministral,q05,-0.06666666666666667,0.008333333333333333,-0.075
Yes (AI) - No (AI),Yes (AI),No (AI),ministral,q06,-0.07916666666666668,-0.016666666666666663,-0.06250000000000001
Yes (AI) - No (AI),Yes (AI),No (AI),mistral,q01,0.0,0.0,0.0
Yes (AI) - No (AI),Yes (AI),No (AI),mistral,q02,0.0,0.0,0.0
Yes (AI) - No (AI),Yes (AI),No (AI),mistral,q03,-0.009166666666666682,0.032499999999999994,-0.04166666666666668
Yes (AI) - No (AI),Yes (AI),No (AI),mistral,q04,-0.020000000000000004,0.02999999999999998,-0.04999999999999999
Yes (AI) - No (AI),Yes (AI),No (AI),mistral,q05,-0.034999999999999996,0.01916666666666667,-0.05416666666666667
Yes (AI) - No (AI),Yes (AI),No (AI),mistral,q06,-0.007500000000000011,0.03333333333333332,-0.04083333333333333
Yes (AI) - No (AI),Yes (AI),No (AI),phi,q01,-0.0525,-0.04416666666666667,-0.008333333333333331
Yes (AI) - No (AI),Yes (AI),No (AI),phi,q02,-0.055,-0.04666666666666666,-0.008333333333333338
Yes (AI) - No (AI),Yes (AI),No (AI),phi,q03,-0.07333333333333332,-0.019999999999999993,-0.05333333333333333
Yes (AI) - No (AI),Yes (AI),No (AI),phi,q04,-0.006666666666666665,-0.0016666666666666644,-0.005000000000000001
Yes (AI) - No (AI),Yes (AI),No (AI),phi,q05,-0.028333333333333332,0.010833333333333328,-0.03916666666666666
Yes (AI) - No (AI),Yes (AI),No (AI),phi,q06,-0.06499999999999999,-0.010833333333333335,-0.054166666666666655
