contrast_label,contrast_group,prompt_template,question_id,mean_effect,blind_mean,target_mean,n_texts
Lower (profile),PI_BIB,prompt_A,q01,-0.101953125,3.77875,3.676796875,40.0
Lower (profile),PI_BIB,prompt_A,q02,-0.11203125000000001,3.875625,3.76359375,40.0
Lower (profile),PI_BIB,prompt_A,q03,-0.28234375,3.181875,2.89953125,40.0
Lower (profile),PI_BIB,prompt_A,q04,-0.182109375,3.5434375,3.361328125,40.0
Lower (profile),PI_BIB,prompt_A,q05,-0.414140625,2.91,2.495859375,40.0
Lower (profile),PI_BIB,prompt_A,q06,-0.264609375,3.6025,3.337890625,40.0
Lower (profile),PI_BIB,prompt_B,q01,-0.067265625,3.7553125,3.688046875,40.0
Lower (profile),PI_BIB,prompt_B,q02,-0.053515625000000004,3.863125,3.809609375,40.0
Lower (profile),PI_BIB,prompt_B,q03,-0.10484375,3.1521874999999997,3.04734375,40.0
Lower (profile),PI_BIB,prompt_B,q04,-0.06648437500000001,3.531875,3.465390625,40.0
Lower (profile),PI_BIB,prompt_B,q05,-0.13609375,2.9234375,2.7873437500000002,40.0
Lower (profile),PI_BIB,prompt_B,q06,-0.10585937499999999,3.58625,3.480390625,40.0
Lower (profile),PI_BIB,prompt_C,q01,-0.096640625,3.7825,3.6858593749999997,40.0
Lower (profile),PI_BIB,prompt_C,q02,-0.059453124999999996,3.87875,3.819296875,40.0
Lower (profile),PI_BIB,prompt_C,q03,-0.171328125,3.1828125,3.0114843749999998,40.0
Lower (profile),PI_BIB,prompt_C,q04,-0.118515625,3.568125,3.449609375,40.0
Lower (profile),PI_BIB,prompt_C,q05,-0.2715625,2.9440625000000002,2.6725,40.0
Lower (profile),PI_BIB,prompt_C,q06,-0.19210937499999997,3.6303125,3.438203125,40.0
Male (name),PI_NAME,prompt_A,q01,-0.069765625,3.77875,3.708984375,40.0
Male (name),PI_NAME,prompt_A,q02,-0.07664062499999999,3.875625,3.798984375,40.0
Male (name),PI_NAME,prompt_A,q03,-0.17734375,3.181875,3.00453125,40.0
Male (name),PI_NAME,prompt_A,q04,-0.115234375,3.5434375,3.428203125,40.0
Male (name),PI_NAME,prompt_A,q05,-0.2503125,2.91,2.6596875,40.0
Male (name),PI_NAME,prompt_A,q06,-0.164609375,3.6025,3.4378906249999996,40.0
Male (name),PI_NAME,prompt_B,q01,-0.0409375,3.7553125,3.714375,40.0
Male (name),PI_NAME,prompt_B,q02,-0.03,3.863125,3.833125,40.0
Male (name),PI_NAME,prompt_B,q03,-0.05242187500000001,3.1521874999999997,3.099765625,40.0
Male (name),PI_NAME,prompt_B,q04,-0.028593750000000008,3.531875,3.5032812499999997,40.0
Male (name),PI_NAME,prompt_B,q05,-0.07515625000000001,2.9234375,2.8482812500000003,40.0
Male (name),PI_NAME,prompt_B,q06,-0.051015625,3.58625,3.5352343750000004,40.0
Male (name),PI_NAME,prompt_C,q01,-0.07203124999999999,3.7825,3.71046875,40.0
Male (name),PI_NAME,prompt_C,q02,-0.035078124999999995,3.87875,3.843671875,40.0
Male (name),PI_NAME,prompt_C,q03,-0.09687499999999999,3.1828125,3.0859375,40.0
Male (name),PI_NAME,prompt_C,q04,-0.072109375,3.568125,3.496015625,40.0
Male (name),PI_NAME,prompt_C,q05,-0.16609375,2.9440625000000002,2.77796875,40.0
Male (name),PI_NAME,prompt_C,q06,-0.120078125,3.6303125,3.510234375,40.0
No (AI),AI,prompt_A,q01,0.005312499999999998,3.77875,3.7840624999999997,40.0
No (AI),AI,prompt_A,q02,-0.005312499999999998,3.875625,3.8703125,40.0
No (AI),AI,prompt_A,q03,0.0,3.181875,3.181875,40.0
No (AI),AI,prompt_A,q04,0.0046875,3.5434375,3.5481249999999998,40.0
No (AI),AI,prompt_A,q05,0.032812499999999994,2.91,2.9428125,40.0
No (AI),AI,prompt_A,q06,0.0065625000000000076,3.6025,3.6090625,40.0
No (AI),AI,prompt_B,q01,0.0178125,3.7553125,3.7731250000000003,40.0
No (AI),AI,prompt_B,q02,0.008437499999999997,3.863125,3.8715625,40.0
No (AI),AI,prompt_B,q03,0.0428125,3.1521874999999997,3.1950000000000003,40.0
No (AI),AI,prompt_B,q04,0.02968749999999999,3.531875,3.5615625,40.0
No (AI),AI,prompt_B,q05,0.019687499999999997,2.9234375,2.9431249999999998,40.0
No (AI),AI,prompt_B,q06,0.039375,3.58625,3.625625,40.0
No (AI),AI,prompt_C,q01,-0.023749999999999993,3.7825,3.75875,40.0
No (AI),AI,prompt_C,q02,-0.016874999999999994,3.87875,3.861875,40.0
No (AI),AI,prompt_C,q03,-0.004375000000000007,3.1828125,3.1784375000000002,40.0
No (AI),AI,prompt_C,q04,-0.008124999999999999,3.568125,3.56,40.0
No (AI),AI,prompt_C,q05,-0.018750000000000006,2.9440625000000002,2.9253125,40.0
No (AI),AI,prompt_C,q06,-0.01812499999999999,3.6303125,3.6121875,40.0
Top-tier (inst.),PI_INST,prompt_A,q01,-0.059375000000000004,3.77875,3.719375,40.0
Top-tier (inst.),PI_INST,prompt_A,q02,-0.065,3.875625,3.810625,40.0
Top-tier (inst.),PI_INST,prompt_A,q03,-0.146640625,3.181875,3.035234375,40.0
Top-tier (inst.),PI_INST,prompt_A,q04,-0.086796875,3.5434375,3.456640625,40.0
Top-tier (inst.),PI_INST,prompt_A,q05,-0.19015625,2.91,2.71984375,40.0
Top-tier (inst.),PI_INST,prompt_A,q06,-0.12632812499999999,3.6025,3.4761718750000004,40.0
Top-tier (inst.),PI_INST,prompt_B,q01,-0.0278125,3.7553125,3.7275,40.0
Top-tier (inst.),PI_INST,prompt_B,q02,-0.020390625,3.863125,3.842734375,40.0
Top-tier (inst.),PI_INST,prompt_B,q03,-0.024999999999999998,3.1521874999999997,3.1271875000000002,40.0
Top-tier (inst.),PI_INST,prompt_B,q04,-0.012031250000000005,3.531875,3.51984375,40.0
Top-tier (inst.),PI_INST,prompt_B,q05,-0.041796875000000004,2.9234375,2.881640625,40.0
Top-tier (inst.),PI_INST,prompt_B,q06,-0.02578125,3.58625,3.56046875,40.0
Top-tier (inst.),PI_INST,prompt_C,q01,-0.061015625,3.7825,3.7214843749999997,40.0
Top-tier (inst.),PI_INST,prompt_C,q02,-0.028749999999999998,3.87875,3.85,40.0
Top-tier (inst.),PI_INST,prompt_C,q03,-0.070859375,3.1828125,3.111953125,40.0
Top-tier (inst.),PI_INST,prompt_C,q04,-0.0521875,3.568125,3.5159374999999997,40.0
Top-tier (inst.),PI_INST,prompt_C,q05,-0.12703125,2.9440625000000002,2.8170312500000003,40.0
Top-tier (inst.),PI_INST,prompt_C,q06,-0.0925,3.6303125,3.5378125,40.0
Yes (AI),AI,prompt_A,q01,-0.023125,3.77875,3.755625,40.0
Yes (AI),AI,prompt_A,q02,-0.0178125,3.875625,3.8578124999999996,40.0
Yes (AI),AI,prompt_A,q03,-0.04843749999999999,3.181875,3.1334375,40.0
Yes (AI),AI,prompt_A,q04,-0.030312499999999992,3.5434375,3.513125,40.0
Yes (AI),AI,prompt_A,q05,-0.04249999999999999,2.91,2.8674999999999997,40.0
Yes (AI),AI,prompt_A,q06,-0.061249999999999985,3.6025,3.54125,40.0
Yes (AI),AI,prompt_B,q01,-0.009687499999999998,3.7553125,3.745625,40.0
Yes (AI),AI,prompt_B,q02,-0.009375,3.863125,3.8537500000000002,40.0
Yes (AI),AI,prompt_B,q03,-0.0062499999999999995,3.1521874999999997,3.1459375,40.0
Yes (AI),AI,prompt_B,q04,0.003124999999999994,3.531875,3.535,40.0
Yes (AI),AI,prompt_B,q05,-0.03687500000000001,2.9234375,2.8865625,40.0
Yes (AI),AI,prompt_B,q06,-0.017812500000000012,3.58625,3.5684375,40.0
Yes (AI),AI,prompt_C,q01,-0.0571875,3.7825,3.7253125,40.0
Yes (AI),AI,prompt_C,q02,-0.023125,3.87875,3.855625,40.0
Yes (AI),AI,prompt_C,q03,-0.05625,3.1828125,3.1265625,40.0
Yes (AI),AI,prompt_C,q04,-0.04000000000000001,3.568125,3.528125,40.0
Yes (AI),AI,prompt_C,q05,-0.08625000000000001,2.9440625000000002,2.8578125,40.0
Yes (AI),AI,prompt_C,q06,-0.079375,3.6303125,3.5509375,40.0
