pair_label,left_label,right_label,prompt,question_id,left_value,right_value,pair_mean_diff
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),prompt_B,q02,-0.032109374999999996,-0.020390625,-0.011718749999999997
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),prompt_B,q03,-0.064296875,-0.024999999999999998,-0.03929687500000001
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),prompt_B,q04,-0.03476562500000001,-0.012031250000000005,-0.022734375
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),prompt_B,q05,-0.09468750000000001,-0.041796875000000004,-0.052890625000000004
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),prompt_B,q06,-0.06046875,-0.02578125,-0.0346875
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),prompt_C,q01,-0.0671875,-0.061015625,-0.006171875
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),prompt_C,q02,-0.03078125,-0.028749999999999998,-0.002031250000000002
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),prompt_C,q03,-0.09960937499999999,-0.070859375,-0.028749999999999984
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),prompt_C,q04,-0.0740625,-0.0521875,-0.021875000000000006
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),prompt_C,q05,-0.176328125,-0.12703125,-0.04929687499999999
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),prompt_C,q06,-0.11984375,-0.0925,-0.02734375
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),prompt_A,q01,-0.101953125,-0.034453125,-0.0675
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),prompt_A,q02,-0.11203125000000001,-0.039375,-0.07265625
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),prompt_A,q03,-0.28234375,-0.06984375,-0.21250000000000002
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),prompt_A,q04,-0.182109375,-0.036015625,-0.14609375
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),prompt_A,q05,-0.414140625,-0.07296875,-0.341171875
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),prompt_A,q06,-0.264609375,-0.055,-0.209609375
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),prompt_B,q01,-0.067265625,-0.0033593749999999986,-0.06390625
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),prompt_B,q02,-0.053515625000000004,0.0010156249999999987,-0.05453125
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),prompt_B,q03,-0.10484375,0.015546874999999998,-0.120390625
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),prompt_B,q04,-0.06648437500000001,0.019687499999999997,-0.08617187500000001
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),prompt_B,q05,-0.13609375,-0.00039062500000000035,-0.135703125
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),prompt_B,q06,-0.10585937499999999,0.01960937499999999,-0.12546875
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),prompt_C,q01,-0.096640625,-0.0315625,-0.06507812499999999
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),prompt_C,q02,-0.059453124999999996,-7.812499999999703e-05,-0.059375
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),prompt_C,q03,-0.171328125,0.0008593750000000008,-0.1721875
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),prompt_C,q04,-0.118515625,-0.007734375,-0.11078125
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),prompt_C,q05,-0.2715625,-0.031796875,-0.23976562499999998
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),prompt_C,q06,-0.19210937499999997,-0.020234375000000002,-0.17187499999999997
Yes (AI) - No (AI),Yes (AI),No (AI),prompt_A,q01,-0.023125,0.005312499999999998,-0.028437499999999998
Yes (AI) - No (AI),Yes (AI),No (AI),prompt_A,q02,-0.0178125,-0.005312499999999998,-0.0125
Yes (AI) - No (AI),Yes (AI),No (AI),prompt_A,q03,-0.04843749999999999,0.0,-0.04843749999999999
Yes (AI) - No (AI),Yes (AI),No (AI),prompt_A,q04,-0.030312499999999992,0.0046875,-0.03499999999999999
Yes (AI) - No (AI),Yes (AI),No (AI),prompt_A,q05,-0.04249999999999999,0.032812499999999994,-0.07531249999999998
Yes (AI) - No (AI),Yes (AI),No (AI),prompt_A,q06,-0.061249999999999985,0.0065625000000000076,-0.0678125
Yes (AI) - No (AI),Yes (AI),No (AI),prompt_B,q01,-0.009687499999999998,0.0178125,-0.027499999999999997
Yes (AI) - No (AI),Yes (AI),No (AI),prompt_B,q02,-0.009375,0.008437499999999997,-0.017812499999999995
Yes (AI) - No (AI),Yes (AI),No (AI),prompt_B,q03,-0.0062499999999999995,0.0428125,-0.0490625
Yes (AI) - No (AI),Yes (AI),No (AI),prompt_B,q04,0.003124999999999994,0.02968749999999999,-0.026562499999999996
Yes (AI) - No (AI),Yes (AI),No (AI),prompt_B,q05,-0.03687500000000001,0.019687499999999997,-0.05656250000000001
Yes (AI) - No (AI),Yes (AI),No (AI),prompt_B,q06,-0.017812500000000012,0.039375,-0.057187500000000016
Yes (AI) - No (AI),Yes (AI),No (AI),prompt_C,q01,-0.0571875,-0.023749999999999993,-0.03343750000000001
Yes (AI) - No (AI),Yes (AI),No (AI),prompt_C,q02,-0.023125,-0.016874999999999994,-0.0062500000000000056
Yes (AI) - No (AI),Yes (AI),No (AI),prompt_C,q03,-0.05625,-0.004375000000000007,-0.05187499999999999
Yes (AI) - No (AI),Yes (AI),No (AI),prompt_C,q04,-0.04000000000000001,-0.008124999999999999,-0.03187500000000001
Yes (AI) - No (AI),Yes (AI),No (AI),prompt_C,q05,-0.08625000000000001,-0.018750000000000006,-0.0675
Yes (AI) - No (AI),Yes (AI),No (AI),prompt_C,q06,-0.079375,-0.01812499999999999,-0.06125000000000001
