contrast_label,contrast_group,model,text_id,run_mode,condition_id,prompt_template,pi_name_group,pi_inst_tier,pi_metric_level,ai_flag,condition_family,q01,q02,q03,q04,q05,q06,blind_q01,blind_q02,blind_q03,blind_q04,blind_q05,blind_q06,effect_q01,effect_q02,effect_q03,effect_q04,effect_q05,effect_q06
Male (name),PI_NAME,deepseek,10.3030_101087383_full,pi-only,PI+M_N+TOP_I+LOW_B,prompt_B,M_N,TOP_I,LOW_B,,pi_main,4.0,4.0,3.0,3.5,1.2,3.2,4.0,4.0,3.0,3.5,1.9,3.5,0.0,0.0,0.0,0.0,-0.7,-0.2999999999999998
Male (name),PI_NAME,deepseek,10.3030_101087383_full,pi-only,PI+M_N+TOP_I+LOW_B,prompt_C,M_N,TOP_I,LOW_B,,pi_main,4.0,4.0,3.0,3.5,1.8,3.5,4.0,4.0,3.0,3.5,1.4,3.1,0.0,0.0,0.0,0.0,0.40000000000000013,0.3999999999999999
Male (name),PI_NAME,deepseek,10.3030_101115751_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_A,M_N,LOW_I,HIGH_B,,pi_main,3.9,4.0,3.0,3.5,1.3,3.1,3.8,3.9,3.1,3.6,2.6,3.6,0.10000000000000009,0.10000000000000009,-0.10000000000000009,-0.10000000000000009,-1.3,-0.5
Male (name),PI_NAME,deepseek,10.3030_101115751_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_B,M_N,LOW_I,HIGH_B,,pi_main,4.0,4.0,3.0,3.6,1.4,3.4,3.4,4.0,3.3,3.5,3.4,3.8,0.6000000000000001,0.0,-0.2999999999999998,0.10000000000000009,-2.0,-0.3999999999999999
Male (name),PI_NAME,deepseek,10.3030_101115751_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_C,M_N,LOW_I,HIGH_B,,pi_main,4.0,4.0,2.8,3.6,1.6,3.3,4.0,4.0,3.0,3.5,1.4,3.3,0.0,0.0,-0.20000000000000018,0.10000000000000009,0.20000000000000018,0.0
Male (name),PI_NAME,deepseek,10.3030_101115751_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_A,M_N,LOW_I,LOW_B,,pi_main,4.0,4.0,2.4,3.2,1.2,2.9,3.8,3.9,3.1,3.6,2.6,3.6,0.20000000000000018,0.10000000000000009,-0.7000000000000002,-0.3999999999999999,-1.4000000000000001,-0.7000000000000002
Male (name),PI_NAME,deepseek,10.3030_101115751_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_B,M_N,LOW_I,LOW_B,,pi_main,3.9,4.0,2.7,3.3,1.6,3.2,3.4,4.0,3.3,3.5,3.4,3.8,0.5,0.0,-0.5999999999999996,-0.20000000000000018,-1.7999999999999998,-0.5999999999999996
Male (name),PI_NAME,deepseek,10.3030_101115751_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_C,M_N,LOW_I,LOW_B,,pi_main,3.9,4.0,2.9,3.5,2.6,3.6,4.0,4.0,3.0,3.5,1.4,3.3,-0.10000000000000009,0.0,-0.10000000000000009,0.0,1.2000000000000002,0.30000000000000027
Male (name),PI_NAME,deepseek,10.3030_101115751_full,pi-only,PI+M_N+TOP_I+HIGH_B,prompt_A,M_N,TOP_I,HIGH_B,,pi_main,4.0,4.0,3.0,3.5,1.5,3.3,3.8,3.9,3.1,3.6,2.6,3.6,0.20000000000000018,0.10000000000000009,-0.10000000000000009,-0.10000000000000009,-1.1,-0.30000000000000027
Male (name),PI_NAME,deepseek,10.3030_101115751_full,pi-only,PI+M_N+TOP_I+HIGH_B,prompt_B,M_N,TOP_I,HIGH_B,,pi_main,4.0,4.0,3.0,3.5,1.9,3.5,3.4,4.0,3.3,3.5,3.4,3.8,0.6000000000000001,0.0,-0.2999999999999998,0.0,-1.5,-0.2999999999999998
Male (name),PI_NAME,deepseek,10.3030_101115751_full,pi-only,PI+M_N+TOP_I+HIGH_B,prompt_C,M_N,TOP_I,HIGH_B,,pi_main,3.9,4.0,2.6,3.4,1.8,3.2,4.0,4.0,3.0,3.5,1.4,3.3,-0.10000000000000009,0.0,-0.3999999999999999,-0.10000000000000009,0.40000000000000013,-0.09999999999999964
Male (name),PI_NAME,deepseek,10.3030_101115751_full,pi-only,PI+M_N+TOP_I+LOW_B,prompt_A,M_N,TOP_I,LOW_B,,pi_main,4.0,4.0,2.2,3.1,1.2,2.8,3.8,3.9,3.1,3.6,2.6,3.6,0.20000000000000018,0.10000000000000009,-0.8999999999999999,-0.5,-1.4000000000000001,-0.8000000000000003
Male (name),PI_NAME,deepseek,10.3030_101115751_full,pi-only,PI+M_N+TOP_I+LOW_B,prompt_B,M_N,TOP_I,LOW_B,,pi_main,4.0,4.0,2.9,3.7,1.6,3.2,3.4,4.0,3.3,3.5,3.4,3.8,0.6000000000000001,0.0,-0.3999999999999999,0.20000000000000018,-1.7999999999999998,-0.5999999999999996
Male (name),PI_NAME,deepseek,10.3030_101115751_full,pi-only,PI+M_N+TOP_I+LOW_B,prompt_C,M_N,TOP_I,LOW_B,,pi_main,4.0,4.0,3.0,3.6,2.0,3.6,4.0,4.0,3.0,3.5,1.4,3.3,0.0,0.0,0.0,0.10000000000000009,0.6000000000000001,0.30000000000000027
Male (name),PI_NAME,deepseek,10.3030_101115790_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_A,M_N,LOW_I,HIGH_B,,pi_main,3.9,4.0,3.3,3.8,2.3,3.8,4.0,4.0,3.3,3.8,2.0,3.6,-0.10000000000000009,0.0,0.0,0.0,0.2999999999999998,0.19999999999999973
Male (name),PI_NAME,deepseek,10.3030_101115790_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_B,M_N,LOW_I,HIGH_B,,pi_main,3.4,3.5,2.9,3.3,2.2,3.1,3.7,4.0,3.2,3.9,2.7,3.7,-0.30000000000000027,-0.5,-0.30000000000000027,-0.6000000000000001,-0.5,-0.6000000000000001
Male (name),PI_NAME,deepseek,10.3030_101115790_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_C,M_N,LOW_I,HIGH_B,,pi_main,3.7,3.9,3.1,3.6,2.6,3.6,4.0,4.0,3.3,3.8,2.5,3.8,-0.2999999999999998,-0.10000000000000009,-0.19999999999999973,-0.19999999999999973,0.10000000000000009,-0.19999999999999973
Male (name),PI_NAME,deepseek,10.3030_101115790_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_A,M_N,LOW_I,LOW_B,,pi_main,3.7,3.7,3.0,3.5,1.5,3.0,4.0,4.0,3.3,3.8,2.0,3.6,-0.2999999999999998,-0.2999999999999998,-0.2999999999999998,-0.2999999999999998,-0.5,-0.6000000000000001
Male (name),PI_NAME,deepseek,10.3030_101115790_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_B,M_N,LOW_I,LOW_B,,pi_main,3.5,3.5,2.9,3.3,2.2,3.2,3.7,4.0,3.2,3.9,2.7,3.7,-0.20000000000000018,-0.5,-0.30000000000000027,-0.6000000000000001,-0.5,-0.5
Male (name),PI_NAME,deepseek,10.3030_101115790_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_C,M_N,LOW_I,LOW_B,,pi_main,3.5,3.6,3.1,3.4,2.4,3.1,4.0,4.0,3.3,3.8,2.5,3.8,-0.5,-0.3999999999999999,-0.19999999999999973,-0.3999999999999999,-0.10000000000000009,-0.6999999999999997
Male (name),PI_NAME,deepseek,10.3030_101115790_full,pi-only,PI+M_N+TOP_I+HIGH_B,prompt_A,M_N,TOP_I,HIGH_B,,pi_main,3.9,4.0,3.3,3.6,2.4,3.7,4.0,4.0,3.3,3.8,2.0,3.6,-0.10000000000000009,0.0,0.0,-0.19999999999999973,0.3999999999999999,0.10000000000000009
Male (name),PI_NAME,deepseek,10.3030_101115790_full,pi-only,PI+M_N+TOP_I+HIGH_B,prompt_B,M_N,TOP_I,HIGH_B,,pi_main,3.7,3.8,3.0,3.6,2.0,3.6,3.7,4.0,3.2,3.9,2.7,3.7,0.0,-0.20000000000000018,-0.20000000000000018,-0.2999999999999998,-0.7000000000000002,-0.10000000000000009
Male (name),PI_NAME,deepseek,10.3030_101115790_full,pi-only,PI+M_N+TOP_I+HIGH_B,prompt_C,M_N,TOP_I,HIGH_B,,pi_main,3.8,3.8,3.1,3.6,2.5,3.6,4.0,4.0,3.3,3.8,2.5,3.8,-0.20000000000000018,-0.20000000000000018,-0.19999999999999973,-0.19999999999999973,0.0,-0.19999999999999973
Male (name),PI_NAME,deepseek,10.3030_101115790_full,pi-only,PI+M_N+TOP_I+LOW_B,prompt_A,M_N,TOP_I,LOW_B,,pi_main,3.6,3.8,3.0,3.5,2.2,3.3,4.0,4.0,3.3,3.8,2.0,3.6,-0.3999999999999999,-0.20000000000000018,-0.2999999999999998,-0.2999999999999998,0.20000000000000018,-0.30000000000000027
Male (name),PI_NAME,deepseek,10.3030_101115790_full,pi-only,PI+M_N+TOP_I+LOW_B,prompt_B,M_N,TOP_I,LOW_B,,pi_main,3.6,3.8,3.1,3.6,2.4,3.5,3.7,4.0,3.2,3.9,2.7,3.7,-0.10000000000000009,-0.20000000000000018,-0.10000000000000009,-0.2999999999999998,-0.30000000000000027,-0.20000000000000018
Male (name),PI_NAME,deepseek,10.3030_101115790_full,pi-only,PI+M_N+TOP_I+LOW_B,prompt_C,M_N,TOP_I,LOW_B,,pi_main,3.1,3.1,2.6,3.0,2.2,2.8,4.0,4.0,3.3,3.8,2.5,3.8,-0.8999999999999999,-0.8999999999999999,-0.6999999999999997,-0.7999999999999998,-0.2999999999999998,-1.0
Male (name),PI_NAME,deepseek,10.3030_101116284_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_A,M_N,LOW_I,HIGH_B,,pi_main,4.0,4.0,3.1,3.7,1.8,3.4,4.0,4.0,3.0,3.5,2.0,3.4,0.0,0.0,0.10000000000000009,0.20000000000000018,-0.19999999999999996,0.0
Male (name),PI_NAME,deepseek,10.3030_101116284_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_B,M_N,LOW_I,HIGH_B,,pi_main,4.0,4.0,3.0,3.7,1.0,3.0,4.0,4.0,3.0,3.5,1.0,3.0,0.0,0.0,0.0,0.20000000000000018,0.0,0.0
Male (name),PI_NAME,deepseek,10.3030_101116284_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_C,M_N,LOW_I,HIGH_B,,pi_main,3.8,4.0,3.1,3.5,2.3,3.6,4.0,4.0,3.1,3.6,1.4,3.4,-0.20000000000000018,0.0,0.0,-0.10000000000000009,0.8999999999999999,0.20000000000000018
Male (name),PI_NAME,deepseek,10.3030_101116284_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_A,M_N,LOW_I,LOW_B,,pi_main,4.0,4.0,2.6,3.4,1.0,2.9,4.0,4.0,3.0,3.5,2.0,3.4,0.0,0.0,-0.3999999999999999,-0.10000000000000009,-1.0,-0.5
Male (name),PI_NAME,deepseek,10.3030_101116284_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_B,M_N,LOW_I,LOW_B,,pi_main,4.0,4.0,2.8,3.4,1.9,3.3,4.0,4.0,3.0,3.5,1.0,3.0,0.0,0.0,-0.20000000000000018,-0.10000000000000009,0.8999999999999999,0.2999999999999998
Male (name),PI_NAME,deepseek,10.3030_101116284_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_C,M_N,LOW_I,LOW_B,,pi_main,4.0,4.0,2.8,3.8,1.5,3.3,4.0,4.0,3.1,3.6,1.4,3.4,0.0,0.0,-0.30000000000000027,0.19999999999999973,0.10000000000000009,-0.10000000000000009
Male (name),PI_NAME,deepseek,10.3030_101116284_full,pi-only,PI+M_N+TOP_I+HIGH_B,prompt_A,M_N,TOP_I,HIGH_B,,pi_main,4.0,4.0,3.0,3.5,1.0,3.0,4.0,4.0,3.0,3.5,2.0,3.4,0.0,0.0,0.0,0.0,-1.0,-0.3999999999999999
Male (name),PI_NAME,deepseek,10.3030_101116284_full,pi-only,PI+M_N+TOP_I+HIGH_B,prompt_B,M_N,TOP_I,HIGH_B,,pi_main,3.9,4.0,3.0,3.5,1.5,3.3,4.0,4.0,3.0,3.5,1.0,3.0,-0.10000000000000009,0.0,0.0,0.0,0.5,0.2999999999999998
Male (name),PI_NAME,deepseek,10.3030_101116284_full,pi-only,PI+M_N+TOP_I+HIGH_B,prompt_C,M_N,TOP_I,HIGH_B,,pi_main,3.9,4.0,3.1,3.5,2.2,3.6,4.0,4.0,3.1,3.6,1.4,3.4,-0.10000000000000009,0.0,0.0,-0.10000000000000009,0.8000000000000003,0.20000000000000018
Male (name),PI_NAME,deepseek,10.3030_101116284_full,pi-only,PI+M_N+TOP_I+LOW_B,prompt_A,M_N,TOP_I,LOW_B,,pi_main,4.0,4.0,2.9,3.4,1.0,3.0,4.0,4.0,3.0,3.5,2.0,3.4,0.0,0.0,-0.10000000000000009,-0.10000000000000009,-1.0,-0.3999999999999999
Male (name),PI_NAME,deepseek,10.3030_101116284_full,pi-only,PI+M_N+TOP_I+LOW_B,prompt_B,M_N,TOP_I,LOW_B,,pi_main,3.9,4.0,3.1,3.6,1.8,3.3,4.0,4.0,3.0,3.5,1.0,3.0,-0.10000000000000009,0.0,0.10000000000000009,0.10000000000000009,0.8,0.2999999999999998
Male (name),PI_NAME,deepseek,10.3030_101116284_full,pi-only,PI+M_N+TOP_I+LOW_B,prompt_C,M_N,TOP_I,LOW_B,,pi_main,4.0,4.0,2.8,3.6,1.7,3.3,4.0,4.0,3.1,3.6,1.4,3.4,0.0,0.0,-0.30000000000000027,0.0,0.30000000000000004,-0.10000000000000009
Male (name),PI_NAME,deepseek,10.3030_101116420_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_A,M_N,LOW_I,HIGH_B,,pi_main,4.0,4.0,2.7,3.3,2.1,3.3,4.0,4.0,2.7,3.4,2.7,3.4,0.0,0.0,0.0,-0.10000000000000009,-0.6000000000000001,-0.10000000000000009
Male (name),PI_NAME,deepseek,10.3030_101116420_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_B,M_N,LOW_I,HIGH_B,,pi_main,4.0,4.0,2.3,3.1,2.3,3.1,3.7,4.0,3.0,3.5,3.2,3.6,0.2999999999999998,0.0,-0.7000000000000002,-0.3999999999999999,-0.9000000000000004,-0.5
Male (name),PI_NAME,deepseek,10.3030_101116420_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_C,M_N,LOW_I,HIGH_B,,pi_main,3.5,3.9,2.7,3.3,2.8,3.3,4.0,4.0,2.6,3.2,2.6,3.4,-0.5,-0.10000000000000009,0.10000000000000009,0.09999999999999964,0.19999999999999973,-0.10000000000000009
Male (name),PI_NAME,deepseek,10.3030_101116420_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_A,M_N,LOW_I,LOW_B,,pi_main,3.9,4.0,2.6,3.2,1.9,3.1,4.0,4.0,2.7,3.4,2.7,3.4,-0.10000000000000009,0.0,-0.10000000000000009,-0.19999999999999973,-0.8000000000000003,-0.2999999999999998
Male (name),PI_NAME,deepseek,10.3030_101116420_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_B,M_N,LOW_I,LOW_B,,pi_main,4.0,4.0,2.6,3.2,2.5,3.2,3.7,4.0,3.0,3.5,3.2,3.6,0.2999999999999998,0.0,-0.3999999999999999,-0.2999999999999998,-0.7000000000000002,-0.3999999999999999
Male (name),PI_NAME,deepseek,10.3030_101116420_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_C,M_N,LOW_I,LOW_B,,pi_main,3.7,4.0,3.0,3.4,2.9,3.5,4.0,4.0,2.6,3.2,2.6,3.4,-0.2999999999999998,0.0,0.3999999999999999,0.19999999999999973,0.2999999999999998,0.10000000000000009
Male (name),PI_NAME,deepseek,10.3030_101116420_full,pi-only,PI+M_N+TOP_I+HIGH_B,prompt_A,M_N,TOP_I,HIGH_B,,pi_main,4.0,4.0,2.9,3.4,2.8,3.4,4.0,4.0,2.7,3.4,2.7,3.4,0.0,0.0,0.19999999999999973,0.0,0.09999999999999964,0.0
Male (name),PI_NAME,deepseek,10.3030_101116420_full,pi-only,PI+M_N+TOP_I+HIGH_B,prompt_B,M_N,TOP_I,HIGH_B,,pi_main,3.9,4.0,2.9,3.5,3.1,3.6,3.7,4.0,3.0,3.5,3.2,3.6,0.19999999999999973,0.0,-0.10000000000000009,0.0,-0.10000000000000009,0.0
Male (name),PI_NAME,deepseek,10.3030_101116420_full,pi-only,PI+M_N+TOP_I+HIGH_B,prompt_C,M_N,TOP_I,HIGH_B,,pi_main,4.0,4.0,2.7,3.3,2.6,3.3,4.0,4.0,2.6,3.2,2.6,3.4,0.0,0.0,0.10000000000000009,0.09999999999999964,0.0,-0.10000000000000009
Male (name),PI_NAME,deepseek,10.3030_101116420_full,pi-only,PI+M_N+TOP_I+LOW_B,prompt_A,M_N,TOP_I,LOW_B,,pi_main,4.0,4.0,2.6,3.2,2.0,3.2,4.0,4.0,2.7,3.4,2.7,3.4,0.0,0.0,-0.10000000000000009,-0.19999999999999973,-0.7000000000000002,-0.19999999999999973
Male (name),PI_NAME,deepseek,10.3030_101116420_full,pi-only,PI+M_N+TOP_I+LOW_B,prompt_B,M_N,TOP_I,LOW_B,,pi_main,3.9,4.0,2.3,3.1,2.2,3.1,3.7,4.0,3.0,3.5,3.2,3.6,0.19999999999999973,0.0,-0.7000000000000002,-0.3999999999999999,-1.0,-0.5
Male (name),PI_NAME,deepseek,10.3030_101116420_full,pi-only,PI+M_N+TOP_I+LOW_B,prompt_C,M_N,TOP_I,LOW_B,,pi_main,4.0,4.0,2.4,3.2,2.0,3.1,4.0,4.0,2.6,3.2,2.6,3.4,0.0,0.0,-0.20000000000000018,0.0,-0.6000000000000001,-0.2999999999999998
Male (name),PI_NAME,deepseek,10.3030_101116585_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_A,M_N,LOW_I,HIGH_B,,pi_main,3.9,4.0,3.3,3.8,3.3,3.8,3.8,4.0,3.1,3.8,3.0,3.8,0.10000000000000009,0.0,0.19999999999999973,0.0,0.2999999999999998,0.0
Male (name),PI_NAME,deepseek,10.3030_101116585_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_B,M_N,LOW_I,HIGH_B,,pi_main,3.6,3.8,3.0,3.6,3.0,3.6,4.0,4.0,3.1,4.0,3.1,4.0,-0.3999999999999999,-0.20000000000000018,-0.10000000000000009,-0.3999999999999999,-0.10000000000000009,-0.3999999999999999
Male (name),PI_NAME,deepseek,10.3030_101116585_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_C,M_N,LOW_I,HIGH_B,,pi_main,3.7,4.0,3.0,3.7,2.5,3.6,4.0,4.0,3.2,3.9,3.2,3.9,-0.2999999999999998,0.0,-0.20000000000000018,-0.19999999999999973,-0.7000000000000002,-0.2999999999999998
Male (name),PI_NAME,deepseek,10.3030_101116585_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_A,M_N,LOW_I,LOW_B,,pi_main,3.9,4.0,3.1,4.0,2.4,3.7,3.8,4.0,3.1,3.8,3.0,3.8,0.10000000000000009,0.0,0.0,0.20000000000000018,-0.6000000000000001,-0.09999999999999964
Male (name),PI_NAME,deepseek,10.3030_101116585_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_B,M_N,LOW_I,LOW_B,,pi_main,3.7,3.9,2.9,3.6,2.4,3.5,4.0,4.0,3.1,4.0,3.1,4.0,-0.2999999999999998,-0.10000000000000009,-0.20000000000000018,-0.3999999999999999,-0.7000000000000002,-0.5
Male (name),PI_NAME,deepseek,10.3030_101116585_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_C,M_N,LOW_I,LOW_B,,pi_main,3.7,3.8,2.6,3.4,2.1,3.2,4.0,4.0,3.2,3.9,3.2,3.9,-0.2999999999999998,-0.20000000000000018,-0.6000000000000001,-0.5,-1.1,-0.6999999999999997
Male (name),PI_NAME,deepseek,10.3030_101116585_full,pi-only,PI+M_N+TOP_I+HIGH_B,prompt_A,M_N,TOP_I,HIGH_B,,pi_main,4.0,4.0,3.3,4.0,3.3,4.0,3.8,4.0,3.1,3.8,3.0,3.8,0.20000000000000018,0.0,0.19999999999999973,0.20000000000000018,0.2999999999999998,0.20000000000000018
Male (name),PI_NAME,deepseek,10.3030_101116585_full,pi-only,PI+M_N+TOP_I+HIGH_B,prompt_B,M_N,TOP_I,HIGH_B,,pi_main,3.9,4.0,3.0,3.9,3.0,3.9,4.0,4.0,3.1,4.0,3.1,4.0,-0.10000000000000009,0.0,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009
Male (name),PI_NAME,deepseek,10.3030_101116585_full,pi-only,PI+M_N+TOP_I+HIGH_B,prompt_C,M_N,TOP_I,HIGH_B,,pi_main,3.8,3.9,3.2,3.8,3.2,3.8,4.0,4.0,3.2,3.9,3.2,3.9,-0.20000000000000018,-0.10000000000000009,0.0,-0.10000000000000009,0.0,-0.10000000000000009
Male (name),PI_NAME,deepseek,10.3030_101116585_full,pi-only,PI+M_N+TOP_I+LOW_B,prompt_A,M_N,TOP_I,LOW_B,,pi_main,3.9,4.0,3.1,3.9,3.0,3.9,3.8,4.0,3.1,3.8,3.0,3.8,0.10000000000000009,0.0,0.0,0.10000000000000009,0.0,0.10000000000000009
Male (name),PI_NAME,deepseek,10.3030_101116585_full,pi-only,PI+M_N+TOP_I+LOW_B,prompt_B,M_N,TOP_I,LOW_B,,pi_main,3.9,3.9,3.1,3.9,3.1,3.9,4.0,4.0,3.1,4.0,3.1,4.0,-0.10000000000000009,-0.10000000000000009,0.0,-0.10000000000000009,0.0,-0.10000000000000009
Male (name),PI_NAME,deepseek,10.3030_101116585_full,pi-only,PI+M_N+TOP_I+LOW_B,prompt_C,M_N,TOP_I,LOW_B,,pi_main,3.6,4.0,2.9,3.6,2.6,3.5,4.0,4.0,3.2,3.9,3.2,3.9,-0.3999999999999999,0.0,-0.30000000000000027,-0.2999999999999998,-0.6000000000000001,-0.3999999999999999
Male (name),PI_NAME,deepseek,10.3030_101117133_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_A,M_N,LOW_I,HIGH_B,,pi_main,4.0,4.0,3.1,3.7,1.0,3.1,4.0,4.0,3.1,3.5,1.4,3.2,0.0,0.0,0.0,0.20000000000000018,-0.3999999999999999,-0.10000000000000009
Male (name),PI_NAME,deepseek,10.3030_101117133_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_B,M_N,LOW_I,HIGH_B,,pi_main,3.9,3.9,3.3,3.8,2.5,3.7,4.0,4.0,3.2,3.5,1.7,3.5,-0.10000000000000009,-0.10000000000000009,0.09999999999999964,0.2999999999999998,0.8,0.20000000000000018
Male (name),PI_NAME,deepseek,10.3030_101117133_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_C,M_N,LOW_I,HIGH_B,,pi_main,4.0,4.0,3.1,3.6,2.0,3.6,4.0,4.0,3.1,3.6,1.4,3.5,0.0,0.0,0.0,0.0,0.6000000000000001,0.10000000000000009
Male (name),PI_NAME,deepseek,10.3030_101117133_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_A,M_N,LOW_I,LOW_B,,pi_main,3.9,4.0,3.2,3.7,2.2,3.5,4.0,4.0,3.1,3.5,1.4,3.2,-0.10000000000000009,0.0,0.10000000000000009,0.20000000000000018,0.8000000000000003,0.2999999999999998
Male (name),PI_NAME,deepseek,10.3030_101117133_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_B,M_N,LOW_I,LOW_B,,pi_main,3.7,3.8,2.9,3.3,1.6,3.2,4.0,4.0,3.2,3.5,1.7,3.5,-0.2999999999999998,-0.20000000000000018,-0.30000000000000027,-0.20000000000000018,-0.09999999999999987,-0.2999999999999998
